Product-ID;enseigne;url;nom;marque;quantite;poids_volume;poids_volume_total;unite;descriptif;ingredients;conservation;valeurs_energetiques;origine;prix;prix_poids
102774;Simply;http://www.livraison.simplymarket.fr/acheter-ravioli-bolognaise-zapetti-400g-zapetti,51581,11,121,521.htm;RAVIOLI BOLOGNAISE ZAPETTI;ZAPETTI;1;;400;G;Ravioli a la sauce bolognaise, pour 1 personne;Sauce : eau, puree de tomates mi-reduite et tomate pelee, viande bovine, carottes, oignons, sucre, aromes, vin blanc, ssel, amidon transforme de mais, huile de tournesol.Pates : semoule de ble dur, eau.Farce : viande bovine, chapelure (farine de ble, sel), sel, epices et aromates. Viandes mis en oeuvre : 15% du poids net total.Fabrique dans un atelier qui utilise des oeufs, du lait et du celeri.;A conserver a temperature ambiante.;Pour 100g : valeur energetique : 423 kj soit 101 kcal, proteines : 4.4g, glucides : 12.3g, lipides : 3.4g.;;1.94;4.85
102775;Simply;http://www.livraison.simplymarket.fr/acheter-ravioli-bolognaise-zapetti-800g-zapetti,51591,11,121,521.htm;RAVIOLI BOLOGNAISE ZAPETTI;ZAPETTI;1;;800;G;Ravioli a la sauce bolognaise riche en boeuf;Sauce : eau, puree de tomates mi-reduite et tomate pelee, viande bovine, carottes, oignons, sucre, sel, vin blanc, amidon transforme de mais, huile de tournesol, aromes.Pates : semoule de ble dur, eau.Farce : viande bovine, chapelure (farine de ble, sel), semoule de ble dur, sel, epices et aromates. Viandes mis en oeuvre: 15% du poids net total. Ce produit contient du celeri.Trace eventuelle de lait.;A conserver a temperature ambiante.;Pour 100g : valeur energetique : 423 kj soit 101 kcal, proteines : 4.4g, glucides : 12.3g, lipides : 3.4g.;;3.03;3.79
203442;Monoprix;http://courses.monoprix.fr/RIDE/Ravioli-de-boeuf-a-la-bolognaise-1774919;Ravioli de boeuf a la bolognaise;Lustucru Pates fraiches;;300;;g;Des raviolis fondants associes a une farce savoureuse a deguster en toute simplicite pour le plus grand plaisir de toute la famille Mentions Pur Boeuf et Viande bovine francaise .;Pate 48 semoule de BLE dur, eau, OEUFS frais 7,7 . Pourcentage exprime sur la pate. Farce 52 Viande de boeuf VBF 31 , tomate puree 29 , chapelure GLUTEN , oignon deshydrate 4 , eau, huile de colza, sel, amidon transforme, sucre, LACTOSE etPROTEINES DE LAIT, basilic 0,8 , ail 0,7 , AROME, extrait depice . Pourcentages exprimes sur la farce. Viande provenant danimaux nes, eleves et abattus en France. Peut contenir des traces de poisson, fruits a coque et soja. Conditionne sous atmosphere protectrice.;A conserver entre 0degC et 4degC.;;FRANCE;3.01;10.03
205345;Monoprix;http://courses.monoprix.fr/RIDE/Ravioli-pur-boeuf-certifie-AB-1879003;Ravioli pur boeuf, certifie AB;Monoprix Bio;;300;;g;;Ravioli precuits 43 pate 26 semoule de ble dur , eau, oeufs , farce 17 viande de boeuf 9,5 , couscous , coulis de tomate , tomates , oignons , sel, huile de tournesol , aromes naturels , eau, huile de colza , sel , eau, concentre de tomates 5,8 , tomates concassees 4,9 , carottes 1,6 , oignons 1,6 , huile de colza , sel, sucre , fecule de pomme de terre , ail deshydrate , epaississants gomme xanthane et gomme guar, poivre, origan , persil , basilic , paprika . Presence possible depoisson. Ingredients issus de lagriculture biologique.;A conserver a temperature ambiante. Conditionne sous atmosphere protectrice.;[94KCAL];FRANCE;2.54;8.47
205347;Monoprix;http://courses.monoprix.fr/RIDE/Ravioli-pur-boeuf-a-la-sauce-italienne-146592;Ravioli pur boeuf a la sauce italienne;Monoprix;;400;;g;Les raviolis Monoprix ont ete prepares avec soin. Vous pouvez les agrementer de parmesan rape, de thym ou de romarin. Bon appetit;Sauce eau, puree de tomates et tomate pelee 17 , legumes 4,5 carotte 3 , oignon 1.5 , viande bovine 3,3 , sucre, amidon transforme de mais, sel, huile de tournesol, arome. Pate semoule de ble dur, eau, blanc doeufs, sel. Farce viande bovine4,2 , chapelure farine de ble tendre, sel , semoule de ble dur, legumes 0,3 carotte, oignon , sel, poudre de lait ecreme, aromes dont celeri , huile de tournesol. Viande bovine mise en oeuvre 7,5 du poids net total.;;[88kcal];FRANCE;0.93;2.33
302099;Auchan;"http://www.auchandirect.fr/charcuterie-traiteur/traiteur/raviolis-au-boeuf/id1/465/41048;jsessionid=AD01C10CE69A5DDE735D1612DAB71F8D.AA716D06BA683C41AD";Raviolis au boeuf;AUCHAN;;300;;;Ravioli pur boeuf.;P__te (semoule de bl__ dur, eau, oeuf frais pasteuris__s). Farce (Viande bovine, chapelure (farine de bl__, eau, levure, sel), semoule de bl__ dur, eau, sel, oignons frais d__shydrat__s, prot__ines et fibres de pois, c__leri, huile de tournesol, gras de boeuf, sel, carottes, ar__meprot__ines de lait et lactose, pr__paration __ base d'__pices et d'aromates (poudre de tomate, lait __cr__m__ en poudre, sel, ail, poivre, herbes de provence, laurier, coriandre, thym, ar__me naturel), ail;A conserver au r__frig__rateur entre 0 et +6__C.  A consommer rapidement apr__s ouverture.;Donn__es nutritionnelles : 100g contiennent environ 9.8g de lipides,12.9g de protides,39.9g de glucides. Valeur __nerg__tique pour 100g 299 Kcal.;;1.79;5.97
302279;Auchan;"http://www.auchandirect.fr/bio-ecolo/produits-frais-et-surgeles-bio/raviolis-boeuf/id1/456/79793;jsessionid=AD01C10CE69A5DDE735D1612DAB71F8D.AA716D06BA683C41AD";Raviolis boeuf;AUCHAN BIO;;300;; tranches;Sortir la p__te du r__frig__rateur 15 minutes avant utilisation. Pr__chauffer le four __ 180__C (th. 5/6). D__rouler la p__te et la placer avec son papier cuisson dans un moule __ tarte de diam__tre 28 cm. Piquer le fond de la p__te __ l'aide d'une fourchette. Garnir selon votre go__t. D__couper le papier exc__dentaire puis placer la tarte __ mi-hauteur. Faire cuire 30 __ 40 min. selon la recette de votre choix.;semoule de bl__ dur de qualit__ sup__rieureau,oeufs 10,5% de la pate(140g/kg desemoule) farce 40%:viande bovine cuite40%, semoule de bl__ dur,double concentr__ de tomate 9%,eau, tomates6%,coulis de tomates 5%(tomates, jus de tomates,oignos5%,sel, huile de tournesol,aromes naturels,sucres,ail d__shydrat__traces eventuelles de lait, soja,noix, et graines de s__same.Ingr__dient issus de l'agriculture BIO;A conserver entre 0__c et +4__c;Donn__es nutritionnelles : 100g contiennent environ 4.90g de lipides,40.60g de glucides,10.50g de protides.;;;
303053;Auchan;"http://www.auchandirect.fr/epicerie-salee/conserves,-plats-cuisines/ravioli-pur-boeuf/id1/479/1149;jsessionid=F44623B462BFAD2806706E847D75055D.5C36D5734C2F84345B";Ravioli pur boeuf;AUCHAN;;400;; l;Au bain-marie : 20 __ 25 mn.  Au four : pr__chauffer le four pendant 10 mn Th.7, verser le contenu de la bo__te dans un plat, mettre au four 15 mn.  A la casserole : 10 mn __ feu doux.;Sauce : eau, viande de boeuf, concentr__ de tomates , l__gumes frais : carottes et oignons, pulpe de tomates, sel , amidon modifi__, sucre, ar__mes, vin blanc - P__te : semoule de bl__ dur, eau, blanc d'oeuf - Farce : viande de boeuf, chapelure, semoule de bl__ dur, ar__mes, sel , l__gumes frais  : carottes et oignons, exhausteur de go__t : E621.;Avant ouverture : craint la chaleur et l'humidit__. Apr__s ouverture __ conserver 24h au r__frig__rateur.;Donn__es nutritionnelles : 100g contiennent environ 2.10g de lipides,13.50g de glucides,4.60g de protides.Valeur __nerg__tique pour 100g 91.00 Kcal;;0.99;2.48
101767;Simply;http://www.livraison.simplymarket.fr/acheter-pizza-4-fromages-auchan-400g-auchan,210339,91,721,3271.htm;PIZZA 4 FROMAGES AUCHAN;AUCHAN;1;;400;G;Pizza aux 4 fromages: mozzarella, provolone, grana padano et gorgonzola.;Farine de ble tendre, eau, sauce tomate 17.2% (pulpe de tomate, huile d'olive, sel, oignons, conservateur: sorbate de potassium, origan, poivre noir), mozzarella 16.1% (lait, sel, presure, ferments lactiques), provolone 6.9% (lait, sel, presure), gorgonzola 4.6% (lait, ferments lactiques, sel, presure, conservateur: lysozyme d'oeuf), farine de ble dur, huile d'olive, sel, levure. Traces eventuelles de poisson.;A conserver entre 0C et +4C.A consommer rapidement apres ouverture.;"Valeurs moyennes pour 100g: energie 1022kJ (243kcal); proteines 12.2g; glucides 28.6g; lipides 8.4g.";;5;12,5
101772;Simply;http://www.livraison.simplymarket.fr/acheter-dolce-pizza-4-formaggi-sodebo-380g-sodebo,230920,91,721,3271.htm;DOLCE PIZZA 4 FORMAGGI SODEBO;Sodebo;1;;380;G;Pizza pate fine garnie de mozzarella, de gorgonzola, de grana padano, de parmigiano reggiano et de roquette.;Garniture 57% : fromages 50% (mozzarella 36%, gorgonzola 10%, grana padano 2% (conservateur E1105 (dont oeuf)), parmigiano reggiano 2%), sauce tomate 37% (puree de tomate, eau, farine de ble, sel), tomates cerises mi-sechees aux herbes (tomate cerise, huile de tournesol, sel, ail, origan), olives noires avec noyau (stabilisant E579), roquette 0.8%, basilic et origan.Pate 43% : farine de ble, eau, huile d'olive vierge extra 2%, levure boulangere, sel.;A conserver entre 0 et +4C.;Valeurs moyennes pour 100g : Energie 1008kJ (240kcal)Matieres grasses 8.2g (dont acides gras satures 5.1g)Glucides 28.5g (dont sucres 2.7g)Proteines 11.7gSel 1.47g.;;5,25;13,82
101765;Simply;http://www.livraison.simplymarket.fr/acheter-pizza-fromagere-auchan-450g-auchan,186943,91,721,3271.htm;PIZZA FROMAGERE AUCHAN;AUCHAN;1;;450;G;Pizza pate fine fromagere (emmental, maasdam, mimolette, mozzarella).;"Pate cuite 38,4% : farine de ble, eau, preparation pour levain (levain, farine de seigle, farine de ble malte, stabilisant : gomme xanthane), huile de colza, sel, levure, sucre, poudre a lever : carbonate de sodium, amylases fongiques, hemicellulases. Sauce tomate cuite 24.8% : puree de tomates mi-reduite (81% de la sauce), eau, amidon transforme de pomme de terre, huile d'olive, basilic (0.2% de la sauce), origan (0.2% de la sauce), ail. Emmental rape 15% : emmental ; fecule de pomme de terre. Maasdam 7.2% : lait, sel, ferments lactiques, presure, colorant : beta carotere. Mimolette 7.2% : lait, sel, ferments lactiques, presure, colorant : rocou. Mozzarella 7.2%. Origan 0.1%, basilic 0.1%.";A conserver entre 0 et 4C.;Pour 100g, 1124 kj ( 268 kcal). Proteines 14.2g, Glucides 23.9g dont sucres 3.2g, Lipides 12.3g dont acides gras satures 6.5g, Fibres alimentaires 2.6g, Sodium 0.42g equivalent en sel 1.07g.;;2,99;6,64
203297;Monoprix;http://courses.monoprix.fr/RIDE/Pizza-quatre-fromages-cuite-au-feu-de-bois-2354564;Pizza quatre fromages, cuite au feu de bois;Monoprix Gourmet;;400;;g;Monoprix Gourmet a selectionne pour vous une gamme de pizza fabriquee en Italie.;Garniture 51,4 sauce tomate 34 puree de tomate, pulpe de tomate, huile dolive vierge extra, basilic, oignons, sel, aromates, origan , mozzarella 31 , fromage provolone 14 , fromage bleu 12 , fromage Parmigiano Reggiano 7,3 , origan. Pate 48,6 farine de ble, eau, huile de tournesol, levure, sel.;;;FRANCE;5.51;13.78
203500;Monoprix;http://courses.monoprix.fr/RIDE/Pizza-aux-4-fromages-2469017;Pizza aux 4 fromages;Sodebo Dolce Pizza;;380;;g;;Garniture 57 FROMAGES 50 mozzarella 36 , gorgonzola 10 , grana padano 2 conservateur E1105 dont OEUF , parmigiano reggiano 2 , sauce tomate 37 puree de tomate, eau, farine de BLE, sel , tomates cerises mi sechees aux herbes tomate cerise, huile de tournesol, sel, ail, origan , olives noires avec noyau stabilisant E579 , roquette 0,8 , basilic et origan. Pourcentages exprimes sur la garniture. Pate 43 farine de BLE, eau, huile dolive vierge extra 2 , levure boulangere, sel.Pourcentage exprime sur la pate Informations en majuscules destinees aux personnes allergiques.;Ce produit est conditionne sous atmosphere protectrice.;[240];FRANCE;5.72;15.05
204948;Monoprix;http://courses.monoprix.fr/RIDE/Pizza-aux-4-fromages-emmental-edam-mozzarella-et-chevre-1787439;Pizza aux 4 fromages, emmental, edam, mozzarella et chevre;Buitoni Four a Pierre;;390;;g;Cest a la Casa Buitoni, au coeur de la Toscane, que Buitoni a developpe tout son savoir faire pour elaborer ses pizzas au plus proche de la tradition italienne.Une pate preparee comme en Italie, lentement petrie, finement etalee, puis cuite sur pierre pour garantir moelleux et croustillance. Une nouvelle recette 4 fromages De belles tranches de mozzarella, de lemmental, de ledam et, nouveaute, du fromage de chevre fondant, sur une delicieuse sauce tomate cuisinee.;Ingredients Garniture 60,5 FROMAGE 56,5 EDAM 29,5 colorant E160a , MOZZARELLA 19 , CHEVRE 6,5 , EMMENTAL 1,5 , eau, puree de tomates 13 , amidon modifie de pomme de terre, sel, basilic, pulpe dail, origan, persil, origan, poudre de betterave, extrait naturel de poivre. Pate cuite 39,5 farine de BLE, eau, levure boulangere, huile de tournesol, levain de SEIGLE et de BLE SOJA , sel, sucre, extrait de malt dORGE. rapportes a la garniture.;24h dans un refrigerateur. 3 jours dans le compartiment a glace dun refrigerateur. Plusieurs mois dans le compartiment a 18degC dun refrigerateur 3 etoiles ou dans un congelateur. Et ce jusqua la date indiquee sur lemballage.;;FRANCE;2.99;7.67
302096;Auchan;"http://www.auchandirect.fr/charcuterie-traiteur/traiteur/la-pizza-4-fromages/id1/465/134482;jsessionid=AD01C10CE69A5DDE735D1612DAB71F8D.AA716D06BA683C41AD";La pizza 4 fromages;SODEBO;47;0;0;;6 min. (au four __ chaleur tournante pr__chauff__ __ 200__C, th 6-7) ou 8 min. (four __ chaleur traditionnelle pr__chauff__ __ 220__C, th7-8) en ayant pris soin d'enlever le support sous la pizza.;"""Garniture 59% : sauce tomate (pur__e de tomate, eau, farine de BLE, sel, huile d'olive vierge extra), FROMAGES [emmental 21%, mozzarella 20%, mimolette 10 % (colorant : E160b), fromage __ raclette 7% (conservateur: E235)], olives noires avec noyau 3% (stabilisant: E579), basilic et origan. Pourcentages exprim__s sur la garniture. ""		P__te 41%: farine de BLE, eau, levure boulang__re, sel 		Informations en majuscules destin__es aux personnes allergiques.";"""A conserver entre: 0__C et +4__C. Apr__s ouverture, __ conserver entre 0__C et +4__C et __ consommer dans les 24 h.""";Donn__es nutritionnelles : 100g contiennent environ 9.2g de lipides,27.4g de glucides,12g de protides.Valeur __nerg__tique pour 100g 254 Kcal;;3.49;7.43
302302;Auchan;"http://www.auchandirect.fr/surgeles/pizzas,-tartes,-plats-cuisines/pizza-4-fromages/id1/431964/24630;jsessionid=4C29CF24D122C01107A675DAEAE53D4C.655945727540143662";Pizza 4 fromages;AUCHAN;42;0;0;;Laisser la pizza 10 min __ temp__rature ambiante. Pr__chauffer le four 15 min __ 180__C-200__C (Th 6/7). Enfourner la pizza sur une grille __ mi-hauteur et la laisser cuire 7/8 min environ. Pour une p__te plus moelleuse, la d__poser sur une plaque.  Ne jamais recongeler un produit d__congel__.;P__te 54,3% : farine de bl__, eau, huile de tournesol, levure - Garniture 45,7% : fromages 25,7%, emmental , mozzarella, gorgonzola, fromage italien - sp__cialit__ fromag__re dont fromage 10% (acidifiant : E330, colorant E160a), pur__e de tomates, eau, farine de bl__, huile de tournesol, sel, plantes aromatique, __pices, ar__me naturel.;A conserver au cong__lateur __ -18__C pendant plusieurs mois.;Donn__es nutritionnelles : 100g contiennent environ 13.50g de lipides,27.00g de glucides,12.00g de protides.;;;
302318;Auchan;"http://www.auchandirect.fr/surgeles/pizzas,-tartes,-plats-cuisines/pizza-aux-4-fromages/id1/431964/55658;jsessionid=4C29CF24D122C01107A675DAEAE53D4C.655945727540143662";Pizza aux 4 fromages;BUITONI;39;0;0;;Pour une cuisson r__ussie :  Au four traditionnel : 20 minutes.  Au four __ micro-ondes : 12 minutes.    Laisser d__congeler votre pizza 20 minutes avant cuisson rend la p__te encore meilleure.;Garniture (59%) : fromages (44.5%)* (mozzarella (27%)*, __dam (11.5%)*, ch__vre 4.5%, emmental 1.5%*), pulpe de tomates concentr__e (20.5%)*, eau, oignons, huiles v__g__tales, amidon modifi__ de pomme de terre, herbes aromatiques (basilic, origan), sucre, sel, poudre de betterave, colorants : E160a, ar__mes, extrait naturel de poivre.    P__te cuite (41,%) : farine de bl__, eau, levure boulang__re, huile de tournesol, levain de seigle et de bl__ (soja), sel, sucre, extrait de malt d'orge.    *Pourcentages indiqu__s sur garniture.;A conserver __ -18__C.;Donn__es nutritionnelles : 100g contiennent environ 8.80g de lipides,24.30g de glucides,11.50g de protides.;;;
105794;Simply;http://www.livraison.simplymarket.fr/acheter-liquide-vaisselle-citron-auchan-750ml-auchan,50321,61,471,2381.htm;LIQUIDE VAISSELLE CITRON AUCHAN;AUCHAN;1;;750;ML;Liquide vaiselle parfum citron.;Contient :De 5 a 15 % : agents de surface anioniquesMoins de 5% : agents de surface amphoteres, agents de surface non-ioniquesEgalement : conservateur (2-bromo-2-nitropropane-1.3 diol), parfum (limonene, linalool).;Conserver hors de portee des enfants.;;;1,52;2,03
105800;Simply;http://www.livraison.simplymarket.fr/acheter-paic-citron-750ml-paic,42301,61,471,2381.htm;PAIC CITRON;PAIC;1;;750;ML;Liquide vaisselle super degraissant.;"5-15% : agents de surface anioniques ; < 5% : agents de surface non-ioniques ; parfum, limonene,  methylchloroisothiazolinone, octylisothiazolinone.";;;;2,25;3
105802;Simply;http://www.livraison.simplymarket.fr/acheter-liquide-vaisselle-citron-integral-5-paic-750ml-paic,224794,61,471,2381.htm;LIQUIDE VAISSELLE CITRON INTEGRAL 5 PAIC;PAIC;1;;750;ML;Liquide vaisselle.;Contient : - 5-15% : agents de surface non-ioniques.- Moins de 5% : agents de surface non-ioniques.- Parfum, limonene, glutaral, methylisothiazolinone, octylisothiazolinone.;Conserver hors de portee des enfants.;;;2,81;3,75
215450;Monoprix;http://courses.monoprix.fr/RIDE/Paic-citron-liquide-vaisselle-super-degraissant-2428321;Paic citron, liquide vaisselle super degraissant;Paic Integral 5;;750;;ml;;;;;FRANCE;2.94;3.79
215455;Monoprix;http://courses.monoprix.fr/RIDE/Produit-vaisselle-super-degraissant-parfum-citron-2457898;Produit vaisselle super degraissant parfum citron;Paic;;750;;ml;La formule super degraissante de Paic citron elimine sans effort les graisses les plus resistantes pour un resultat etincelant. Elle est si concentree que quelques gouttes suffisent pour nettoyer toute votre vaisselle, meme a leau tiede;5 et plus mais moins de 15 agents de surface anioniques, moins de 5 agents de surface non ioniques. Parfum, limonene, glutaral, methylisothiazolinone, octylisothiazolinone.;;;FRANCE;2.35;3.04
215461;Monoprix;http://courses.monoprix.fr/RIDE/Liquide-vaisselle-pour-peaux-sensibles-senteur-citron-1467725;Liquide vaisselle, pour peaux sensibles, senteur citron;Rainett;;750;;ml;Garantit une vaisselle propre et eclatante. Protege les mains meme les plus sensibles et respecte lenvironnement. Ensemble, protegeons nos rivieres. Choisir Rainett, cest respecter lenvironnement et participer au programme Eau Douce du WWF. RAINETT EST LE FRUIT DUNE DEMARCHE ECOLOGIQUE GLOBALE INTEGRANT DES COMPOSANTS NATURELS A FORT POUVOIR NETTOYANT ET DES PROCEDES DE PRODUCTION QUI RESPECTENT AU MAXIMUM LENVIRONNEMENT.;5 15 agents de surfacez anionique 5 agents de surface non ioniques agents de surface amphoteres conservateurs lactic acid parfums extrait de citron colorant alimentaire;;;FRANCE;2.03;2.71
